,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Amount_Total,Total_Purchases,Children,Family_Size,Total_AcceptedCmp,Days_Active
0,Graduation,Single,58138.0,58,635,88,546.0,172,88,88,3,8.0,10.0,4,7,0,0,0,0,0,0,1,57.0,1445,25.0,0,1,1,914
1,Graduation,Single,46344.0,38,11,1,6.0,2,1,6,2,1.0,1.0,2,5,0,0,0,0,0,0,0,60.0,25,6.0,2,3,0,88
2,Graduation,In Relationship,71613.0,26,426,49,127.0,111,21,42,1,8.0,2.0,10,4,0,0,0,0,0,0,0,49.0,665,21.0,0,2,0,447
3,Graduation,In Relationship,26646.0,26,11,4,20.0,10,3,5,2,2.0,0.0,4,6,0,0,0,0,0,0,0,30.0,43,8.0,1,3,0,40
4,PhD,In Relationship,58293.0,94,173,43,118.0,46,27,15,5,5.0,3.0,6,5,0,0,0,0,0,0,0,33.0,376,19.0,1,3,0,228
5,Master,In Relationship,62513.0,16,520,42,98.0,0,42,14,2,6.0,4.0,10,6,0,0,0,0,0,0,0,47.0,716,22.0,1,3,0,438
6,Graduation,Single,55635.0,34,235,65,164.0,50,49,27,4,7.0,3.0,7,6,0,0,0,0,0,0,0,43.0,540,21.0,1,2,0,720
7,PhD,In Relationship,33454.0,32,76,10,56.0,3,1,23,2,4.0,0.0,4,8,0,0,0,0,0,0,0,29.0,166,10.0,1,3,0,457
8,PhD,In Relationship,30351.0,19,14,0,24.0,3,3,2,1,3.0,0.0,2,9,0,0,0,0,0,0,1,40.0,43,6.0,1,3,1,530
9,PhD,In Relationship,5648.0,68,28,0,6.0,1,1,13,1,1.0,0.0,0,20,1,0,0,0,0,0,0,64.0,48,2.0,2,4,1,201
10,Graduation,In Relationship,52247.25135379061,11,5,5,6.0,0,2,1,1,1.0,0.0,2,7,0,0,0,0,0,0,0,31.0,19,4.0,1,3,0,376
11,Basic,In Relationship,7500.0,59,6,16,11.0,11,1,16,1,2.0,0.0,3,8,0,0,0,0,0,0,0,38.0,50,6.0,0,2,0,695
12,Graduation,Single,63033.0,82,194,61,480.0,225,112,30,1,3.0,4.0,8,2,0,0,0,0,0,0,0,55.0,877,16.0,0,1,0,305
13,Master,Single,59354.0,53,233,2,53.0,3,5,14,3,6.0,1.0,5,6,0,0,0,0,0,0,0,62.0,307,15.0,2,3,0,334
14,Graduation,In Relationship,17323.0,38,3,14,17.0,6,1,5,1,1.0,0.0,3,8,0,0,0,0,0,0,0,27.0,40,5.0,0,2,0,750
15,PhD,Single,82800.0,23,1006,22,115.0,59,68,45,1,7.0,6.0,12,3,0,0,1,1,0,0,1,68.0,1256,26.0,0,1,3,720
16,Graduation,In Relationship,41850.0,51,53,5,19.0,2,13,4,3,3.0,0.0,3,8,0,0,0,0,0,0,0,34.0,94,9.0,2,4,0,662
17,Graduation,In Relationship,37760.0,20,84,5,38.0,150,12,28,2,4.0,1.0,6,7,0,0,0,0,0,0,0,68.0,167,13.0,0,2,0,808
18,Master,In Relationship,76995.0,91,1012,80,498.0,0,16,176,2,11.0,4.0,9,5,0,0,0,1,0,0,0,65.0,1782,26.0,1,3,1,528
19,2n Cycle,Single,33812.0,86,4,17,19.0,30,24,39,2,2.0,1.0,3,6,0,0,0,0,0,0,0,29.0,103,8.0,1,2,0,915
20,Graduation,In Relationship,37040.0,41,86,2,73.0,69,38,48,1,4.0,2.0,5,8,0,0,0,0,0,0,0,32.0,247,12.0,0,2,0,810
22,PhD,In Relationship,58607.0,63,867,0,86.0,0,0,19,3,2.0,3.0,9,8,0,1,0,0,0,0,0,65.0,972,17.0,1,3,1,651
23,PhD,In Relationship,65324.0,0,384,0,102.0,21,32,5,3,6.0,2.0,9,4,0,0,0,0,0,0,0,60.0,523,20.0,1,3,0,36
24,Graduation,In Relationship,40689.0,69,270,3,27.0,39,6,99,7,7.0,1.0,5,8,0,0,0,0,0,0,0,63.0,405,20.0,1,3,0,560
25,Graduation,Single,18589.0,89,6,4,25.0,15,12,13,2,2.0,1.0,3,7,0,0,0,0,0,0,0,45.0,60,8.0,0,1,0,585
26,Graduation,In Relationship,53359.0,4,173,4,30.0,3,6,41,4,5.0,1.0,4,7,0,0,0,0,0,0,0,38.0,254,14.0,2,4,0,555
28,Graduation,In Relationship,38360.0,26,36,2,42.0,20,21,10,2,2.0,1.0,4,3,0,0,0,0,0,0,0,25.0,111,9.0,1,3,0,529
29,PhD,In Relationship,84618.0,96,684,100,801.0,21,66,0,1,6.0,9.0,10,2,0,0,1,0,0,0,0,49.0,1651,26.0,0,2,1,284
